,accuracy,weighted_precision,weighted_recall,weighted_f1,timestamp
standard_scaler_no_pca_logistic,0.78953421506613,0.7896257981232552,0.78953421506613,0.7894953683269587,2025-09-18T06:19:00.619378
standard_scaler_no_pca_svm_linear,0.7866589994249569,0.7874403202971436,0.7866589994249569,0.7865679674128275,2025-09-18T06:19:06.145407
standard_scaler_no_pca_svm_rbf,0.7958596894767107,0.7959263487201456,0.7958596894767107,0.7958611745670137,2025-09-18T06:19:09.205107
standard_scaler_no_pca_svm_poly,0.78953421506613,0.7900389517459134,0.78953421506613,0.7894845164966904,2025-09-18T06:19:12.314420
standard_scaler_no_pca_random_forest,0.8010350776308223,0.8033560763783051,0.8010350776308223,0.8007377237506825,2025-09-18T06:19:13.724361
standard_scaler_no_pca_gradient_boosting,0.7998849913743531,0.8003382042617747,0.7998849913743531,0.7997681695393665,2025-09-18T06:19:16.037881
standard_scaler_no_pca_decision_tree,0.7538815411155837,0.7540013786612217,0.7538815411155837,0.7538776346180642,2025-09-18T06:19:16.268217
standard_scaler_no_pca_xgboost_impute,0.8073605520414031,0.8078029362984163,0.8073605520414031,0.8073250030902133,2025-09-18T06:19:17.662699
standard_scaler_no_pca_xgboost_native,0.8073605520414031,0.8078029362984163,0.8073605520414031,0.8073250030902133,2025-09-18T06:19:18.253014
standard_scaler_pca_0.95_logistic,0.7855089131684876,0.7855487815063268,0.7855089131684876,0.7854849345654872,2025-09-18T06:19:18.375739
standard_scaler_pca_0.95_svm_linear,0.7832087406555491,0.7837912476928023,0.7832087406555491,0.7831450701501332,2025-09-18T06:19:21.347719
standard_scaler_pca_0.95_svm_rbf,0.7912593444508338,0.7912907842187075,0.7912593444508338,0.7912622435451162,2025-09-18T06:19:23.643365
standard_scaler_pca_0.95_svm_poly,0.7682576193214491,0.7707654151371874,0.7682576193214491,0.7678348876436971,2025-09-18T06:19:26.272465
standard_scaler_pca_0.95_random_forest,0.7987349051178838,0.7995058866666084,0.7987349051178838,0.7986538207044102,2025-09-18T06:19:30.591316
standard_scaler_pca_0.95_gradient_boosting,0.7912593444508338,0.7918350840933766,0.7912593444508338,0.7911063750855024,2025-09-18T06:19:37.667947
standard_scaler_pca_0.95_decision_tree,0.7331799884991375,0.7334978852810002,0.7331799884991375,0.7330242260524887,2025-09-18T06:19:38.055338
standard_scaler_pca_0.95_xgboost_impute,0.8102357676825762,0.8103669366069455,0.8102357676825762,0.8102327556634608,2025-09-18T06:19:38.680908
standard_scaler_pca_0.95_xgboost_native,0.8102357676825762,0.8103669366069455,0.8102357676825762,0.8102327556634608,2025-09-18T06:19:39.334823
standard_scaler_pca_0.98_logistic,0.7866589994249569,0.786737453423975,0.7866589994249569,0.7866230100248127,2025-09-18T06:19:39.523274
standard_scaler_pca_0.98_svm_linear,0.7901092581943646,0.7905871307825527,0.7901092581943646,0.7900634444802052,2025-09-18T06:19:43.047160
standard_scaler_pca_0.98_svm_rbf,0.7941345600920069,0.794173618982314,0.7941345600920069,0.7941372830933918,2025-09-18T06:19:45.514170
standard_scaler_pca_0.98_svm_poly,0.7722829212190915,0.7748847145170635,0.7722829212190915,0.771856200579041,2025-09-18T06:19:47.988540
standard_scaler_pca_0.98_random_forest,0.7998849913743531,0.8002443644086893,0.7998849913743531,0.7998571966672524,2025-09-18T06:19:52.588648
standard_scaler_pca_0.98_gradient_boosting,0.7929844738355377,0.7935952245449959,0.7929844738355377,0.7928261849677095,2025-09-18T06:20:01.623326
standard_scaler_pca_0.98_decision_tree,0.726279470960322,0.7263043656888212,0.726279470960322,0.7262832725438225,2025-09-18T06:20:02.094565
standard_scaler_pca_0.98_xgboost_impute,0.8142610695802185,0.8146572255566019,0.8142610695802185,0.8142325686836128,2025-09-18T06:20:02.817246
standard_scaler_pca_0.98_xgboost_native,0.8142610695802185,0.8146572255566019,0.8142610695802185,0.8142325686836128,2025-09-18T06:20:03.538090
minmax_01_no_pca_logistic,0.7613571017826337,0.7662409367397223,0.7613571017826337,0.7604282550474925,2025-09-18T06:20:03.706528
minmax_01_no_pca_svm_linear,0.7492811960897068,0.7600381743060092,0.7492811960897068,0.7469385783281355,2025-09-18T06:20:06.484969
minmax_01_no_pca_svm_rbf,0.7400805060379528,0.7509630297406695,0.7400805060379528,0.7375332586400901,2025-09-18T06:20:10.369310
minmax_01_no_pca_svm_poly,0.7619321449108684,0.7696028441001976,0.7619321449108684,0.7604386391713833,2025-09-18T06:20:12.690208
minmax_01_no_pca_random_forest,0.8004600345025877,0.8027163080354569,0.8004600345025877,0.8001706853972915,2025-09-18T06:20:14.116837
minmax_01_no_pca_gradient_boosting,0.7998849913743531,0.8003382042617747,0.7998849913743531,0.7997681695393665,2025-09-18T06:20:16.253192
minmax_01_no_pca_decision_tree,0.753306497987349,0.7534137084123903,0.753306497987349,0.753304050725864,2025-09-18T06:20:16.403860
minmax_01_no_pca_xgboost_impute,0.8073605520414031,0.8078029362984163,0.8073605520414031,0.8073250030902133,2025-09-18T06:20:16.765846
minmax_01_no_pca_xgboost_native,0.8073605520414031,0.8078029362984163,0.8073605520414031,0.8073250030902133,2025-09-18T06:20:17.092484
minmax_01_pca_0.95_logistic,0.7136285221391604,0.7215015165958982,0.7136285221391604,0.7113852481208427,2025-09-18T06:20:17.198452
minmax_01_pca_0.95_svm_linear,0.7130534790109259,0.7373613640187324,0.7130534790109259,0.7060581625739301,2025-09-18T06:20:26.699340
minmax_01_pca_0.95_svm_rbf,0.726279470960322,0.7358867824177723,0.726279470960322,0.7237832694196673,2025-09-18T06:20:29.847615
minmax_01_pca_0.95_svm_poly,0.721679125934445,0.7302387079816518,0.721679125934445,0.719382690324327,2025-09-18T06:20:34.098676
minmax_01_pca_0.95_random_forest,0.7222541690626797,0.7240983201552101,0.7222541690626797,0.7218265532798034,2025-09-18T06:20:38.316381
minmax_01_pca_0.95_gradient_boosting,0.7400805060379528,0.7481890985996562,0.7400805060379528,0.7382018638882272,2025-09-18T06:20:44.529146
minmax_01_pca_0.95_decision_tree,0.6848763657274296,0.6849014247474458,0.6848763657274296,0.6848807423403671,2025-09-18T06:20:44.921931
minmax_01_pca_0.95_xgboost_impute,0.7285796434732605,0.733771721251187,0.7285796434732605,0.7272963384872516,2025-09-18T06:20:45.540581
minmax_01_pca_0.95_xgboost_native,0.7285796434732605,0.733771721251187,0.7285796434732605,0.7272963384872516,2025-09-18T06:20:47.673639
minmax_01_pca_0.98_logistic,0.714203565267395,0.7216073029319331,0.714203565267395,0.7121095341183259,2025-09-18T06:20:48.057313
minmax_01_pca_0.98_svm_linear,0.7130534790109259,0.7373613640187324,0.7130534790109259,0.7060581625739301,2025-09-18T06:21:03.944679
minmax_01_pca_0.98_svm_rbf,0.7228292121909143,0.7310107101558887,0.7228292121909143,0.7206580112334262,2025-09-18T06:21:06.831744
minmax_01_pca_0.98_svm_poly,0.726279470960322,0.733371438277051,0.726279470960322,0.724460067970261,2025-09-18T06:21:09.534146
minmax_01_pca_0.98_random_forest,0.7193789534215066,0.7225587090371343,0.7193789534215066,0.7185696177610462,2025-09-18T06:21:15.159672
minmax_01_pca_0.98_gradient_boosting,0.7423806785508913,0.7516715291342551,0.7423806785508913,0.7402550522010299,2025-09-18T06:21:22.691827
minmax_01_pca_0.98_decision_tree,0.6791259344450834,0.6791407603509483,0.6791259344450834,0.6791297543239077,2025-09-18T06:21:23.174821
minmax_01_pca_0.98_xgboost_impute,0.7320299022426682,0.7369660577752611,0.7320299022426682,0.7308469067443093,2025-09-18T06:21:23.831004
minmax_01_pca_0.98_xgboost_native,0.7320299022426682,0.7369660577752611,0.7320299022426682,0.7308469067443093,2025-09-18T06:21:25.058643
minmax_neg11_no_pca_logistic,0.772857964347326,0.7747206225941681,0.772857964347326,0.7725674376397252,2025-09-18T06:21:26.215451
minmax_neg11_no_pca_svm_linear,0.7573317998849913,0.7662028229971353,0.7573317998849913,0.7555295251332323,2025-09-18T06:21:29.072674
minmax_neg11_no_pca_svm_rbf,0.7602070155261644,0.7702511167995778,0.7602070155261644,0.7582030255285723,2025-09-18T06:21:31.588459
